model,setting,metric,value
RandomForest,strict_exclusion,balanced_accuracy,0.5008237185772648
RandomForest,strict_exclusion,roc_auc,0.49997891260964433
RandomForest,strict_exclusion,pr_auc,0.8210533513544442
RandomForest,strict_exclusion,fpr,0.9856026687735931
ExtraTrees,strict_exclusion,balanced_accuracy,0.500551433905178
ExtraTrees,strict_exclusion,roc_auc,0.4986290939079419
ExtraTrees,strict_exclusion,pr_auc,0.8209884948216605
ExtraTrees,strict_exclusion,fpr,0.9686594680010535
LogReg,strict_exclusion,balanced_accuracy,0.5
LogReg,strict_exclusion,roc_auc,0.4975814731328302
LogReg,strict_exclusion,pr_auc,0.818177580927086
LogReg,strict_exclusion,fpr,1.0
RandomForest,full_feature_set,balanced_accuracy,0.9999903701706405
RandomForest,full_feature_set,roc_auc,0.9999999983092214
RandomForest,full_feature_set,pr_auc,0.9999999996290727
RandomForest,full_feature_set,fpr,0.0
ExtraTrees,full_feature_set,balanced_accuracy,0.9976662124187139
ExtraTrees,full_feature_set,roc_auc,0.9999945548476074
ExtraTrees,full_feature_set,pr_auc,0.9999987167571089
ExtraTrees,full_feature_set,fpr,0.004301641646914231
LogReg,full_feature_set,balanced_accuracy,0.9369868408834087
LogReg,full_feature_set,roc_auc,0.9912946765285452
LogReg,full_feature_set,pr_auc,0.997997138611463
LogReg,full_feature_set,fpr,0.11552980423141077
